# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl5;60;1440519747;8854384;22133436;71.43;0;21447116;18875140;60.91;11546712;10079604;368
pgxl5;60;1440519807;8868124;22119696;71.38;0;21447400;18850648;60.83;11544788;10069432;44
pgxl5;60;1440519867;8852992;22134828;71.43;0;21448084;18873328;60.91;11557252;10069456;72
pgxl5;60;1440519927;8831892;22155928;71.50;0;21454780;18891424;60.96;11573824;10072448;300
pgxl5;60;1440519987;17186332;13801488;44.54;0;13034096;18732156;60.45;2624176;10518688;4548628
pgxl5;60;1440520047;16940496;14047324;45.33;0;13277272;18730268;60.44;2629392;10753316;800
pgxl5;60;1440520107;16839560;14148260;45.66;0;13284984;18880716;60.93;2711780;10756996;240
pgxl5;60;1440520167;16846768;14141052;45.63;0;13288816;18870860;60.90;2711548;10757668;252
pgxl5;60;1440520227;16864048;14123772;45.58;0;13289276;18856644;60.85;2711700;10742872;52
pgxl5;60;1440520287;16848156;14139664;45.63;0;13290632;18867176;60.89;2723924;10743288;204
pgxl5;60;1440520347;16857924;14129896;45.60;0;13278560;18867736;60.89;2718224;10739596;388
pgxl5;60;1440520407;16900884;14086936;45.46;0;13279200;18804516;60.68;2683624;10736852;36
pgxl5;60;1440520467;16860708;14127112;45.59;0;13280924;18861204;60.87;2717972;10737080;120
pgxl5;60;1440520527;16840732;14147088;45.65;0;13283992;18886292;60.95;2735224;10738148;108
pgxl5;60;1440520587;16860564;14127256;45.59;0;13269400;18875956;60.91;2723468;10731008;1140
pgxl5;60;1440520647;16926000;14061820;45.38;0;13269512;18774248;60.59;2671388;10725416;472
