# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl5;60;1440519747;eth0;5270.10;5067.93;7085.15;1632.84;0.00;0.00;0.00
pgxl5;60;1440519747;lo;124.13;124.13;51.96;51.96;0.00;0.00;0.00
pgxl5;60;1440519807;eth0;120.82;113.40;173.17;33.16;0.00;0.00;0.00
pgxl5;60;1440519807;lo;5.22;5.22;1.10;1.10;0.00;0.00;0.00
pgxl5;60;1440519867;eth0;642.80;617.53;848.65;201.91;0.00;0.00;0.00
pgxl5;60;1440519867;lo;18.55;18.55;7.30;7.30;0.00;0.00;0.00
pgxl5;60;1440519927;eth0;5989.78;5765.47;8085.20;1831.48;0.00;0.00;0.00
pgxl5;60;1440519927;lo;112.42;112.42;53.39;53.39;0.00;0.00;0.00
pgxl5;60;1440519987;eth0;1120.13;1068.03;1340.64;328.44;0.00;0.00;0.00
pgxl5;60;1440519987;lo;28.27;28.27;11.30;11.30;0.00;0.00;0.00
pgxl5;60;1440520047;eth0;3146.68;2676.33;224.09;230.53;0.00;0.00;0.00
pgxl5;60;1440520047;lo;3.95;3.95;0.45;0.45;0.00;0.00;0.00
pgxl5;60;1440520107;eth0;4203.22;4043.53;5694.81;1270.70;0.00;0.00;0.00
pgxl5;60;1440520107;lo;98.20;98.20;42.75;42.75;0.00;0.00;0.00
pgxl5;60;1440520167;eth0;3156.13;3030.90;4319.60;961.84;0.00;0.00;0.00
pgxl5;60;1440520167;lo;50.08;50.08;23.97;23.97;0.00;0.00;0.00
pgxl5;60;1440520227;eth0;50.25;46.78;62.99;15.88;0.00;0.00;0.00
pgxl5;60;1440520227;lo;11.20;11.20;2.27;2.27;0.00;0.00;0.00
pgxl5;60;1440520287;eth0;1375.13;1320.92;1881.79;420.16;0.00;0.00;0.00
pgxl5;60;1440520287;lo;26.72;26.72;13.02;13.02;0.00;0.00;0.00
pgxl5;60;1440520347;eth0;1402.22;1345.43;1894.21;439.53;0.00;0.00;0.00
pgxl5;60;1440520347;lo;26.45;26.45;11.28;11.28;0.00;0.00;0.00
pgxl5;60;1440520407;eth0;22.68;20.30;26.36;6.30;0.00;0.00;0.00
pgxl5;60;1440520407;lo;5.23;5.23;0.78;0.78;0.00;0.00;0.00
pgxl5;60;1440520467;eth0;2715.93;2614.60;3649.64;828.13;0.00;0.00;0.00
pgxl5;60;1440520467;lo;66.72;66.72;30.82;30.82;0.00;0.00;0.00
pgxl5;60;1440520527;eth0;3527.50;3394.12;4715.32;1104.77;0.00;0.00;0.00
pgxl5;60;1440520527;lo;66.93;66.93;31.40;31.40;0.00;0.00;0.00
pgxl5;60;1440520587;eth0;2502.18;2405.22;3423.22;753.83;0.00;0.00;0.00
pgxl5;60;1440520587;lo;44.60;44.60;20.55;20.55;0.00;0.00;0.00
pgxl5;60;1440520647;eth0;22.50;20.05;24.75;5.95;0.00;0.00;0.00
pgxl5;60;1440520647;lo;15.00;15.00;1.98;1.98;0.00;0.00;0.00
