# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl3;60;1440519747;eth0;5293.58;5093.70;7106.49;1637.89;0.00;0.00;0.00
pgxl3;60;1440519747;lo;124.28;124.28;52.30;52.30;0.00;0.00;0.00
pgxl3;60;1440519807;eth0;119.75;112.40;170.81;32.80;0.00;0.00;0.00
pgxl3;60;1440519807;lo;5.60;5.60;1.15;1.15;0.00;0.00;0.00
pgxl3;60;1440519867;eth0;645.52;620.57;852.41;202.60;0.00;0.00;0.00
pgxl3;60;1440519867;lo;18.55;18.55;7.22;7.22;0.00;0.00;0.00
pgxl3;60;1440519927;eth0;6009.27;5787.10;8087.78;1833.96;0.00;0.00;0.00
pgxl3;60;1440519927;lo;112.58;112.58;53.17;53.17;0.00;0.00;0.00
pgxl3;60;1440519987;eth0;1013.47;975.12;1331.51;328.90;0.00;0.00;0.00
pgxl3;60;1440519987;lo;31.32;31.32;12.21;12.21;0.00;0.00;0.00
pgxl3;60;1440520047;eth0;1.62;1.60;0.13;0.17;0.00;0.00;0.00
pgxl3;60;1440520047;lo;4.37;4.37;0.71;0.71;0.00;0.00;0.00
pgxl3;60;1440520107;eth0;4202.80;4049.38;5696.54;1271.83;0.00;0.00;0.00
pgxl3;60;1440520107;lo;83.45;83.45;39.62;39.62;0.00;0.00;0.00
pgxl3;60;1440520167;eth0;3150.90;3031.57;4312.87;962.21;0.00;0.00;0.00
pgxl3;60;1440520167;lo;50.25;50.25;23.73;23.73;0.00;0.00;0.00
pgxl3;60;1440520227;eth0;50.83;47.30;63.02;16.76;0.00;0.00;0.00
pgxl3;60;1440520227;lo;12.20;12.20;2.42;2.42;0.00;0.00;0.00
pgxl3;60;1440520287;eth0;1375.85;1323.48;1879.73;420.64;0.00;0.00;0.00
pgxl3;60;1440520287;lo;27.27;27.27;13.03;13.03;0.00;0.00;0.00
pgxl3;60;1440520347;eth0;1403.03;1348.40;1894.58;439.98;0.00;0.00;0.00
pgxl3;60;1440520347;lo;27.38;27.38;11.34;11.34;0.00;0.00;0.00
pgxl3;60;1440520407;eth0;25.98;23.57;26.62;6.67;0.00;0.00;0.00
pgxl3;60;1440520407;lo;13.00;13.00;2.32;2.32;0.00;0.00;0.00
pgxl3;60;1440520467;eth0;2723.02;2626.20;3655.10;829.18;0.00;0.00;0.00
pgxl3;60;1440520467;lo;64.62;64.62;30.19;30.19;0.00;0.00;0.00
pgxl3;60;1440520527;eth0;3532.63;3405.22;4715.87;1105.87;0.00;0.00;0.00
pgxl3;60;1440520527;lo;68.48;68.48;32.15;32.15;0.00;0.00;0.00
pgxl3;60;1440520587;eth0;2511.15;2416.30;3428.41;756.47;0.00;0.00;0.00
pgxl3;60;1440520587;lo;49.82;49.82;21.50;21.50;0.00;0.00;0.00
pgxl3;60;1440520647;eth0;22.78;20.25;24.77;5.93;0.00;0.00;0.00
pgxl3;60;1440520647;lo;26.38;26.38;3.49;3.49;0.00;0.00;0.00
