# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl6;60;1440519747;eth0;5276.35;5072.75;7098.54;1634.27;0.00;0.00;0.00
pgxl6;60;1440519747;lo;124.43;124.43;52.12;52.12;0.00;0.00;0.00
pgxl6;60;1440519807;eth0;121.07;113.65;171.97;33.26;0.00;0.00;0.00
pgxl6;60;1440519807;lo;5.73;5.73;1.21;1.21;0.00;0.00;0.00
pgxl6;60;1440519867;eth0;644.23;618.63;850.69;202.23;0.00;0.00;0.00
pgxl6;60;1440519867;lo;18.52;18.52;7.33;7.33;0.00;0.00;0.00
pgxl6;60;1440519927;eth0;5992.82;5762.88;8090.00;1829.75;0.00;0.00;0.00
pgxl6;60;1440519927;lo;110.52;110.52;52.05;52.05;0.00;0.00;0.00
pgxl6;60;1440519987;eth0;1008.77;969.73;1330.92;328.24;0.00;0.00;0.00
pgxl6;60;1440519987;lo;27.50;27.50;11.24;11.24;0.00;0.00;0.00
pgxl6;60;1440520047;eth0;0.92;0.78;0.07;0.07;0.00;0.00;0.00
pgxl6;60;1440520047;lo;2.57;2.57;0.34;0.34;0.00;0.00;0.00
pgxl6;60;1440520107;eth0;4197.15;4036.95;5695.84;1270.70;0.00;0.00;0.00
pgxl6;60;1440520107;lo;87.70;87.70;40.13;40.13;0.00;0.00;0.00
pgxl6;60;1440520167;eth0;3147.97;3025.87;4313.61;961.41;0.00;0.00;0.00
pgxl6;60;1440520167;lo;51.47;51.47;23.97;23.97;0.00;0.00;0.00
pgxl6;60;1440520227;eth0;2147.93;1839.52;213.44;170.83;0.00;0.00;0.00
pgxl6;60;1440520227;lo;8.35;8.35;1.25;1.25;0.00;0.00;0.00
pgxl6;60;1440520287;eth0;2612.77;2375.98;1968.62;511.07;0.00;0.00;0.00
pgxl6;60;1440520287;lo;38.13;38.13;15.56;15.56;0.00;0.00;0.00
pgxl6;60;1440520347;eth0;1401.23;1344.02;1896.03;437.86;0.00;0.00;0.00
pgxl6;60;1440520347;lo;26.13;26.13;10.79;10.79;0.00;0.00;0.00
pgxl6;60;1440520407;eth0;21.93;19.82;26.29;6.23;0.00;0.00;0.00
pgxl6;60;1440520407;lo;4.47;4.47;0.65;0.65;0.00;0.00;0.00
pgxl6;60;1440520467;eth0;2715.03;2614.00;3654.90;828.40;0.00;0.00;0.00
pgxl6;60;1440520467;lo;66.77;66.77;30.60;30.60;0.00;0.00;0.00
pgxl6;60;1440520527;eth0;3521.50;3388.37;4712.92;1103.88;0.00;0.00;0.00
pgxl6;60;1440520527;lo;72.27;72.27;33.15;33.15;0.00;0.00;0.00
pgxl6;60;1440520587;eth0;2499.65;2400.65;3423.01;751.70;0.00;0.00;0.00
pgxl6;60;1440520587;lo;44.65;44.65;20.36;20.36;0.00;0.00;0.00
pgxl6;60;1440520647;eth0;22.48;20.07;24.74;5.94;0.00;0.00;0.00
pgxl6;60;1440520647;lo;15.80;15.80;2.10;2.10;0.00;0.00;0.00
