# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl7;60;1440519747;9001716;21986104;70.95;0;21292624;18923016;61.07;12124480;9340212;408
pgxl7;60;1440519807;9015732;21972088;70.91;0;21293280;18899216;60.99;12122756;9329784;36
pgxl7;60;1440519867;9001312;21986508;70.95;0;21293996;18921740;61.06;12134600;9330164;96
pgxl7;60;1440519927;8979464;22008356;71.02;0;21300988;18940136;61.12;12151708;9333228;264
pgxl7;60;1440519987;9017264;21970556;70.90;0;21304824;18875040;60.91;12130908;9321120;40
pgxl7;60;1440520047;9025524;21962296;70.87;0;21304856;18863472;60.87;12126396;9318716;32
pgxl7;60;1440520107;8976068;22011752;71.03;0;21308100;18932376;61.10;12168312;9319816;212
pgxl7;60;1440520167;8975756;22012064;71.03;0;21311500;18925648;61.07;12167860;9321204;136
pgxl7;60;1440520227;9015564;21972256;70.91;0;21311776;18867076;60.89;12139084;9314516;204
pgxl7;60;1440520287;8981556;22006264;71.02;0;21312692;18917516;61.05;12168604;9314760;88
pgxl7;60;1440520347;8976400;22011420;71.03;0;21315856;18918396;61.05;12172108;9316048;24
pgxl7;60;1440520407;9019200;21968620;70.89;0;21315912;18854240;60.84;12137188;9313772;32
pgxl7;60;1440520467;8979528;22008292;71.02;0;21317392;18911044;61.03;12171476;9314064;128
pgxl7;60;1440520527;8990052;21997768;70.99;0;21290192;18935452;61.11;12170788;9301824;104
pgxl7;60;1440520587;8991868;21995952;70.98;0;21292340;18925752;61.07;12169756;9301060;1540
pgxl7;60;1440520647;9057432;21930388;70.77;0;21292440;18823820;60.75;12118228;9295364;2224
