# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl2;60;1440519747;-22034.33;0.00;21173.72
pgxl2;60;1440519807;65179.75;0.00;-65210.05
pgxl2;60;1440519867;-264.67;0.00;45.63
pgxl2;60;1440519927;-194.83;0.00;39.78
pgxl2;60;1440519987;128.02;0.00;10.12
pgxl2;60;1440520047;0.75;0.00;0.13
pgxl2;60;1440520107;-112.12;0.00;15.82
pgxl2;60;1440520167;1.45;0.00;14.88
pgxl2;60;1440520227;65.73;0.00;13.65
pgxl2;60;1440520287;14.85;0.00;-65.00
pgxl2;60;1440520347;-8.57;0.00;4.35
pgxl2;60;1440520407;67.52;0.00;0.10
pgxl2;60;1440520467;-72.72;0.00;5.55
pgxl2;60;1440520527;-8.65;0.00;-47.97
pgxl2;60;1440520587;-61587.97;0.00;60748.63
pgxl2;60;1440520647;23062.55;0.00;-22640.87
