# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl8;60;1440519747;8794332;22193488;71.62;0;21490544;18906964;61.01;13469444;8204652;340
pgxl8;60;1440519807;8807804;22180016;71.58;0;21491088;18883056;60.94;13468128;8193564;40
pgxl8;60;1440519867;8794200;22193620;71.62;0;21491792;18905516;61.01;13480152;8193832;68
pgxl8;60;1440519927;8772836;22214984;71.69;0;21498600;18924128;61.07;13497024;8196760;352
pgxl8;60;1440519987;8810028;22177792;71.57;0;21502540;18858488;60.86;13476240;8184304;56
pgxl8;60;1440520047;8818152;22169668;71.54;0;21502572;18846844;60.82;13471656;8182176;32
pgxl8;60;1440520107;8768480;22219340;71.70;0;21505852;18916232;61.04;13513732;8183328;152
pgxl8;60;1440520167;8770596;22217224;71.70;0;21508464;18906192;61.01;13511580;8184164;104
pgxl8;60;1440520227;8807988;22179832;71.58;0;21509448;18851348;60.83;13485524;8177388;48
pgxl8;60;1440520287;8773888;22213932;71.69;0;21510388;18901508;61.00;13514868;8177644;132
pgxl8;60;1440520347;8769664;22218156;71.70;0;21514640;18899176;60.99;13515948;8180908;64
pgxl8;60;1440520407;8810348;22177472;71.57;0;21514796;18838092;60.79;13482924;8177984;16
pgxl8;60;1440520467;8786416;22201404;71.65;0;21500460;18894788;60.97;13509344;8170776;284
pgxl8;60;1440520527;8783224;22204596;71.66;0;21487640;18920820;61.06;13516500;8164652;112
pgxl8;60;1440520587;8785240;22202580;71.65;0;21489364;18910880;61.03;13514160;8164572;1228
pgxl8;60;1440520647;8850400;22137420;71.44;0;21489476;18807532;60.69;13462920;8158636;4488
