# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgxl4;60;1440519747;0.00;709.43;3042.38;0.00;7925.47;0.00;0.00;0.00;0.00
pgxl4;60;1440519807;0.00;28.23;504.92;0.00;654.22;0.00;0.00;0.00;0.00
pgxl4;60;1440519867;0.00;76.12;252.03;0.00;1235.45;0.00;0.00;0.00;0.00
pgxl4;60;1440519927;0.00;711.48;618.57;0.00;8928.27;0.00;0.00;0.00;0.00
pgxl4;60;1440519987;0.00;145.32;473.48;0.00;2102.15;0.00;0.00;0.00;0.00
pgxl4;60;1440520047;0.00;7.57;430.53;0.00;279.67;0.00;0.00;0.00;0.00
pgxl4;60;1440520107;0.00;494.65;779.45;0.00;6362.77;0.00;0.00;0.00;0.00
pgxl4;60;1440520167;0.00;370.12;239.50;0.00;4866.53;0.00;0.00;0.00;0.00
pgxl4;60;1440520227;0.00;44.07;754.98;0.00;966.90;0.00;0.00;0.00;0.00
pgxl4;60;1440520287;0.00;166.83;793.68;0.00;2216.75;0.00;0.00;0.00;0.00
pgxl4;60;1440520347;0.40;58479.58;36846.78;0.00;38789.97;22842.53;34.13;22876.60;100.00
pgxl4;60;1440520407;0.00;84629.68;129076.73;0.00;84969.63;988.35;0.00;988.35;100.00
pgxl4;60;1440520467;66.73;10785.13;7454.70;0.02;6182.22;0.00;0.00;0.00;0.00
pgxl4;60;1440520527;0.00;444.10;1037.68;0.00;5652.25;0.00;0.00;0.00;0.00
pgxl4;60;1440520587;3.27;295.93;592.28;0.15;3973.68;0.00;0.00;0.00;0.00
pgxl4;60;1440520647;0.00;94.73;141.20;0.00;570.40;0.00;0.00;0.00;0.00
