# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgxl4;60;1440519747;-1;1.69;0.00;0.71;1.10;0.45;96.05
pgxl4;60;1440519747;0;2.61;0.00;1.43;1.19;1.17;93.59
pgxl4;60;1440519747;1;1.36;0.00;0.52;1.08;0.25;96.79
pgxl4;60;1440519747;2;1.75;0.00;0.50;1.72;0.25;95.77
pgxl4;60;1440519747;3;1.08;0.00;0.44;0.40;0.16;97.92
pgxl4;60;1440519807;-1;0.06;0.00;0.04;0.02;0.01;99.87
pgxl4;60;1440519807;0;0.13;0.00;0.07;0.03;0.03;99.73
pgxl4;60;1440519807;1;0.02;0.00;0.02;0.02;0.02;99.93
pgxl4;60;1440519807;2;0.03;0.00;0.02;0.02;0.00;99.93
pgxl4;60;1440519807;3;0.08;0.00;0.07;0.02;0.00;99.83
pgxl4;60;1440519867;-1;0.16;0.00;0.09;0.11;0.07;99.57
pgxl4;60;1440519867;0;0.24;0.00;0.14;0.07;0.15;99.40
pgxl4;60;1440519867;1;0.13;0.00;0.10;0.10;0.03;99.63
pgxl4;60;1440519867;2;0.19;0.00;0.05;0.22;0.07;99.48
pgxl4;60;1440519867;3;0.08;0.00;0.05;0.02;0.02;99.83
pgxl4;60;1440519927;-1;1.94;0.00;0.78;1.19;0.47;95.61
pgxl4;60;1440519927;0;3.15;0.00;1.79;1.28;1.23;92.55
pgxl4;60;1440519927;1;1.54;0.00;0.47;1.32;0.27;96.39
pgxl4;60;1440519927;2;2.04;0.00;0.61;1.62;0.25;95.48
pgxl4;60;1440519927;3;1.11;0.00;0.33;0.60;0.18;97.78
pgxl4;60;1440519987;-1;0.43;0.00;0.17;0.17;0.08;99.15
pgxl4;60;1440519987;0;0.61;0.00;0.31;0.20;0.20;98.67
pgxl4;60;1440519987;1;0.36;0.00;0.10;0.19;0.05;99.31
pgxl4;60;1440519987;2;0.46;0.00;0.14;0.24;0.03;99.14
pgxl4;60;1440519987;3;0.29;0.00;0.15;0.07;0.02;99.48
pgxl4;60;1440520047;-1;0.01;0.00;0.03;0.00;0.00;99.96
pgxl4;60;1440520047;0;0.00;0.00;0.00;0.00;0.00;100.00
pgxl4;60;1440520047;1;0.00;0.00;0.00;0.00;0.00;100.00
pgxl4;60;1440520047;2;0.02;0.00;0.00;0.00;0.00;99.98
pgxl4;60;1440520047;3;0.03;0.00;0.07;0.00;0.00;99.90
pgxl4;60;1440520107;-1;1.37;0.00;0.52;0.81;0.33;96.98
pgxl4;60;1440520107;0;2.12;0.00;1.13;0.80;0.87;95.08
pgxl4;60;1440520107;1;1.08;0.00;0.32;0.85;0.19;97.56
pgxl4;60;1440520107;2;1.51;0.00;0.39;1.18;0.18;96.74
