# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl4;60;1440519747;-597.68;0.00;55.23
pgxl4;60;1440519807;38.60;0.00;2.60
pgxl4;60;1440519867;28.35;0.00;-65.37
pgxl4;60;1440519927;-87.83;0.00;31.60
pgxl4;60;1440519987;99.45;0.00;15.52
pgxl4;60;1440520047;2.55;0.00;-0.17
pgxl4;60;1440520107;-113.35;0.00;13.27
pgxl4;60;1440520167;0.08;0.00;14.42
pgxl4;60;1440520227;72.13;0.00;10.50
pgxl4;60;1440520287;-61.80;0.00;4.13
pgxl4;60;1440520347;-36820.70;0.00;36026.60
pgxl4;60;1440520407;36620.02;0.00;-36245.63
pgxl4;60;1440520467;-344.52;0.00;70.87
pgxl4;60;1440520527;-74.75;0.00;-48.23
pgxl4;60;1440520587;9.13;0.00;10.22
pgxl4;60;1440520647;273.73;0.00;1.82
