ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1440519686.65739,dbt2,17472,10,mark,dbt2-client,,-1,2015-08-25 12:21:24.431142-04,2015-08-25 12:21:26.451783-04,2015-08-25 12:21:26.576281-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:21:26.57621-04
1440519686.65739,dbt2,17477,10,mark,dbt2-client,,-1,2015-08-25 12:21:25.431452-04,,2015-08-25 12:21:26.542291-04,f,COMMIT,idle,2015-08-25 12:21:26.547466-04
1440519686.65739,dbt2,17480,10,mark,dbt2-client,,-1,2015-08-25 12:21:26.431618-04,,2015-08-25 12:21:26.571148-04,f,COMMIT,idle,2015-08-25 12:21:26.575193-04
1440519686.65739,dbt2,17632,10,mark,psql,,-1,2015-08-25 12:21:26.65424-04,2015-08-25 12:21:26.65561-04,2015-08-25 12:21:26.658297-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-25 12:21:26.657489-04
1440519686.65739,dbt2,17633,10,mark,psql,,-1,2015-08-25 12:21:26.654421-04,2015-08-25 12:21:26.655345-04,2015-08-25 12:21:26.657588-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-25 12:21:26.657147-04
1440519686.65739,dbt2,17636,10,mark,psql,,-1,2015-08-25 12:21:26.655392-04,2015-08-25 12:21:26.657545-04,2015-08-25 12:21:26.661481-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-25 12:21:26.659899-04
1440519686.65739,dbt2,17637,10,mark,psql,,-1,2015-08-25 12:21:26.656447-04,2015-08-25 12:21:26.657981-04,2015-08-25 12:21:26.660833-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-25 12:21:26.659869-04
1440519746.66643,dbt2,17472,10,mark,dbt2-client,,-1,2015-08-25 12:21:24.431142-04,2015-08-25 12:22:25.224984-04,2015-08-25 12:22:26.114953-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:22:26.11487-04
1440519746.66643,dbt2,17477,10,mark,dbt2-client,,-1,2015-08-25 12:21:25.431452-04,2015-08-25 12:22:26.224394-04,2015-08-25 12:22:26.511896-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:22:26.511805-04
1440519746.66643,dbt2,17480,10,mark,dbt2-client,,-1,2015-08-25 12:21:26.431618-04,2015-08-25 12:22:25.753071-04,2015-08-25 12:22:26.274228-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:22:26.274165-04
1440519746.66643,dbt2,17643,10,mark,dbt2-client,,-1,2015-08-25 12:21:27.431827-04,2015-08-25 12:22:26.069468-04,2015-08-25 12:22:26.342314-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:22:26.342249-04
1440519746.66643,dbt2,17679,10,mark,dbt2-client,,-1,2015-08-25 12:21:28.432018-04,2015-08-25 12:22:26.008041-04,2015-08-25 12:22:26.489294-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:22:26.489237-04
1440519746.66643,dbt2,17684,10,mark,dbt2-client,,-1,2015-08-25 12:21:29.432145-04,2015-08-25 12:22:26.441411-04,2015-08-25 12:22:26.56524-04,f,"SELECT payment(1, 9, 1845, 1, 10, '', 3190.160000)",active,2015-08-25 12:22:26.565199-04
1440519746.66643,dbt2,17689,10,mark,dbt2-client,,-1,2015-08-25 12:21:30.43244-04,2015-08-25 12:22:25.884856-04,2015-08-25 12:22:26.574946-04,f,"SELECT payment(1, 9, 0, 1, 9, 'PRESEINGESE', 529.890000)",active,2015-08-25 12:22:26.574878-04
1440519746.66643,dbt2,17694,10,mark,dbt2-client,,-1,2015-08-25 12:21:31.432672-04,2015-08-25 12:22:14.3204-04,2015-08-25 12:22:14.387689-04,f,"SELECT stock_level(1, 3, 11)",active,2015-08-25 12:22:14.387645-04
1440519746.66643,dbt2,17699,10,mark,dbt2-client,,-1,2015-08-25 12:21:32.432662-04,2015-08-25 12:22:26.199047-04,2015-08-25 12:22:26.618667-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:22:26.618611-04
1440519746.66643,dbt2,17704,10,mark,dbt2-client,,-1,2015-08-25 12:21:33.432882-04,2015-08-25 12:22:26.169301-04,2015-08-25 12:22:26.473256-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:22:26.473188-04
1440519746.66643,dbt2,17744,10,mark,psql,,-1,2015-08-25 12:22:26.658308-04,,,f,"",idle,2015-08-25 12:22:26.667791-04
1440519746.66643,dbt2,17746,10,mark,psql,,-1,2015-08-25 12:22:26.658357-04,,,f,"",,
1440519746.66643,dbt2,17745,10,mark,psql,,-1,2015-08-25 12:22:26.65871-04,2015-08-25 12:22:26.660275-04,2015-08-25 12:22:26.667176-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-08-25 12:22:26.666165-04
1440519746.66643,dbt2,17747,10,mark,psql,,-1,2015-08-25 12:22:26.659526-04,2015-08-25 12:22:26.661028-04,,f,"",,
1440519806.66528,dbt2,17472,10,mark,dbt2-client,,-1,2015-08-25 12:21:24.431142-04,2015-08-25 12:23:26.637762-04,2015-08-25 12:23:26.656082-04,f,"SELECT payment(1, 8, 890, 1, 8, '', 2107.630000)",active,2015-08-25 12:23:26.656023-04
1440519806.66528,dbt2,17477,10,mark,dbt2-client,,-1,2015-08-25 12:21:25.431452-04,2015-08-25 12:23:26.628452-04,2015-08-25 12:23:26.646646-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:23:26.646592-04
1440519806.66528,dbt2,17480,10,mark,dbt2-client,,-1,2015-08-25 12:21:26.431618-04,2015-08-25 12:23:26.636888-04,2015-08-25 12:23:26.655306-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:23:26.655247-04
1440519806.66528,dbt2,17643,10,mark,dbt2-client,,-1,2015-08-25 12:21:27.431827-04,2015-08-25 12:23:26.645238-04,2015-08-25 12:23:26.653812-04,f,"SELECT stock_level(1, 7, 20)",active,2015-08-25 12:23:26.653757-04
1440519806.66528,dbt2,17679,10,mark,dbt2-client,,-1,2015-08-25 12:21:28.432018-04,,2015-08-25 12:23:26.666152-04,f,ROLLBACK,idle,2015-08-25 12:23:26.666133-04
1440519806.66528,dbt2,17684,10,mark,dbt2-client,,-1,2015-08-25 12:21:29.432145-04,2015-08-25 12:23:26.651745-04,2015-08-25 12:23:26.665781-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:23:26.665711-04
1440519806.66528,dbt2,17689,10,mark,dbt2-client,,-1,2015-08-25 12:21:30.43244-04,2015-08-25 12:23:26.650672-04,2015-08-25 12:23:26.664481-04,f,"SELECT payment(1, 2, 1646, 1, 2, '', 4658.420000)",active,2015-08-25 12:23:26.664423-04
1440519806.66528,dbt2,17694,10,mark,dbt2-client,,-1,2015-08-25 12:21:31.432672-04,2015-08-25 12:23:26.64962-04,2015-08-25 12:23:26.664431-04,f,"SELECT payment(1, 1, 0, 1, 5, 'ATIONANTIABLE', 2730.120000)",active,2015-08-25 12:23:26.664393-04
1440519806.66528,dbt2,17699,10,mark,dbt2-client,,-1,2015-08-25 12:21:32.432662-04,2015-08-25 12:23:26.648419-04,2015-08-25 12:23:26.65814-04,f,"SELECT payment(1, 2, 379, 1, 2, '', 3631.510000)",active,2015-08-25 12:23:26.658098-04
1440519806.66528,dbt2,17704,10,mark,dbt2-client,,-1,2015-08-25 12:21:33.432882-04,2015-08-25 12:23:26.647311-04,2015-08-25 12:23:26.657555-04,f,FETCH ALL IN mycursor,active,2015-08-25 12:23:26.6575-04
1440519806.66528,dbt2,17774,10,mark,psql,,-1,2015-08-25 12:23:26.66101-04,,,f,"",idle,2015-08-25 12:23:26.665309-04
