# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl1;60;1440519747;eth0;10477.20;10018.15;14943.87;970.50;0.00;0.00;0.00
pgxl1;60;1440519747;lo;1903.38;1903.38;1251.34;1251.34;0.00;0.00;0.00
pgxl1;60;1440519807;eth0;242.37;227.80;358.91;18.72;0.00;0.00;0.00
pgxl1;60;1440519807;lo;48.58;48.58;28.92;28.92;0.00;0.00;0.00
pgxl1;60;1440519867;eth0;1253.53;1204.52;1771.29;122.94;0.00;0.00;0.00
pgxl1;60;1440519867;lo;228.37;228.37;148.73;148.73;0.00;0.00;0.00
pgxl1;60;1440519927;eth0;11780.00;11268.13;16690.18;1115.82;0.00;0.00;0.00
pgxl1;60;1440519927;lo;2081.68;2081.68;1363.13;1363.13;0.00;0.00;0.00
pgxl1;60;1440519987;eth0;1974.83;1890.07;2786.52;206.22;0.00;0.00;0.00
pgxl1;60;1440519987;lo;360.43;360.43;234.08;234.08;0.00;0.00;0.00
pgxl1;60;1440520047;eth0;1.65;1.57;0.13;0.17;0.00;0.00;0.00
pgxl1;60;1440520047;lo;4.37;4.37;0.71;0.71;0.00;0.00;0.00
pgxl1;60;1440520107;eth0;8208.50;7855.42;11644.13;774.82;0.00;0.00;0.00
pgxl1;60;1440520107;lo;1450.13;1450.13;946.32;946.32;0.00;0.00;0.00
pgxl1;60;1440520167;eth0;6197.97;5944.58;8929.62;572.80;0.00;0.00;0.00
pgxl1;60;1440520167;lo;1086.93;1086.93;723.60;723.60;0.00;0.00;0.00
pgxl1;60;1440520227;eth0;90.65;82.60;117.78;11.16;0.00;0.00;0.00
pgxl1;60;1440520227;lo;26.58;26.58;11.01;11.01;0.00;0.00;0.00
pgxl1;60;1440520287;eth0;2726.43;2616.38;3908.86;249.90;0.00;0.00;0.00
pgxl1;60;1440520287;lo;489.65;489.65;322.92;322.92;0.00;0.00;0.00
pgxl1;60;1440520347;eth0;2821.00;2704.20;4051.42;256.75;0.00;0.00;0.00
pgxl1;60;1440520347;lo;508.65;508.65;337.92;337.92;0.00;0.00;0.00
pgxl1;60;1440520407;eth0;47.40;43.92;60.31;3.72;0.00;0.00;0.00
pgxl1;60;1440520407;lo;20.68;20.68;7.43;7.43;0.00;0.00;0.00
pgxl1;60;1440520467;eth0;5211.90;4988.48;7362.40;517.05;0.00;0.00;0.00
pgxl1;60;1440520467;lo;914.25;914.25;596.57;596.57;0.00;0.00;0.00
pgxl1;60;1440520527;eth0;7018.98;6715.92;9911.96;672.50;0.00;0.00;0.00
pgxl1;60;1440520527;lo;1253.97;1253.97;823.57;823.57;0.00;0.00;0.00
pgxl1;60;1440520587;eth0;4884.52;4677.34;6984.94;454.98;0.00;0.00;0.00
pgxl1;60;1440520587;lo;863.81;863.81;564.35;564.35;0.00;0.00;0.00
pgxl1;60;1440520647;eth0;48.33;45.65;56.50;3.92;0.00;0.00;0.00
pgxl1;60;1440520647;lo;31.68;31.68;7.47;7.47;0.00;0.00;0.00
