# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
pgxl;60;1440519747;xvda;7.27;0.00;135.65;18.67;0.01;1.25;0.86;0.62
pgxl;60;1440519747;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440519807;xvda;3.05;0.00;191.77;62.87;0.01;2.92;0.57;0.18
pgxl;60;1440519807;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440519867;xvda;16.73;0.00;1916.15;114.51;0.22;13.45;0.65;1.09
pgxl;60;1440519867;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440519927;xvda;5.72;0.00;110.77;19.38;0.01;1.26;1.03;0.59
pgxl;60;1440519927;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440519987;xvda;2.03;0.00;77.72;38.22;0.00;1.29;0.87;0.18
pgxl;60;1440519987;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520047;xvda;13.62;0.00;1325.07;97.31;0.15;11.13;0.76;1.03
pgxl;60;1440520047;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520107;xvda;7.52;0.00;744.75;99.08;0.08;11.21;0.78;0.58
pgxl;60;1440520107;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520167;xvda;3.70;0.00;57.93;15.66;0.00;1.03;0.91;0.34
pgxl;60;1440520167;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520227;xvda;9.25;0.00;1031.73;111.54;0.15;16.35;0.60;0.55
pgxl;60;1440520227;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520287;xvda;12.55;0.00;1113.18;88.70;0.15;12.10;0.69;0.86
pgxl;60;1440520287;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520347;xvda;3.93;0.00;328.15;83.43;0.02;5.49;0.72;0.29
pgxl;60;1440520347;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520407;xvda;12.25;0.00;1075.22;87.77;0.15;12.18;0.65;0.80
pgxl;60;1440520407;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520467;xvda;12.00;0.00;1492.10;124.34;0.20;16.90;0.67;0.80
pgxl;60;1440520467;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520527;xvda;3.72;0.00;72.78;19.58;0.00;1.04;0.93;0.35
pgxl;60;1440520527;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520587;xvda;3.37;0.00;61.43;18.25;0.00;1.20;0.96;0.32
pgxl;60;1440520587;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl;60;1440520647;xvda;2.38;0.00;90.25;37.87;0.01;2.17;0.22;0.05
pgxl;60;1440520647;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
